Symbol,Name,Sector
ADANIENT,Adani Enterprises Limited,Metals & Mining
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare
ASIANPAINT,Asian Paints Limited,Consumer Durables
AXISBANK,AXIS Bank Limited,Banking
BAJAJ-AUTO,Bajaj Auto Limited,Auto
BAJFINANCE,Bajaj Finance Limited,Financial Services
BAJAJFINSV,Bajaj Finserv Limited,Financial Services
BPCL,Bharat Petroleum Corporation Limited,Energy
BHARTIARTL,Bharti Airtel Limited,Telecom
BRITANNIA,Britannia Industries Limited,FMCG
CIPLA,Cipla Limited,Pharma
COALINDIA,Coal India Limited,Metals & Mining
DIVISLAB,Divi's Laboratories Limited,Pharma
DRREDDY,Dr. Reddy's Laboratories Limited,Pharma
EICHERMOT,Eicher Motors Limited,Auto
GRASIM,Grasim Industries Limited,Consumer Durables
HCLTECH,HCL Technologies Limited,IT
HDFCBANK,HDFC Bank Limited,Banking
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services
HEROMOTOCO,Hero MotoCorp Limited,Auto
HINDALCO,Hindalco Industries Limited,Metals & Mining
HINDUNILVR,Hindustan Unilever Limited,FMCG
ICICIBANK,ICICI Bank Limited,Banking
ITC,ITC Limited,FMCG
INDUSINDBK,IndusInd Bank Limited,Banking
INFY,Infosys Limited,IT
JSWSTEEL,JSW Steel Limited,Metals & Mining
KOTAKBANK,Kotak Mahindra Bank Limited,Banking
LTM,LTIMindtree Limited,IT
LT,Larsen & Toubro Limited,Construction
M&M,Mahindra & Mahindra Limited,Auto
MARUTI,Maruti Suzuki India Limited,Auto
NTPC,NTPC Limited,Energy
NESTLEIND,Nestle India Limited,FMCG
ONGC,Oil & Natural Gas Corporation Limited,Energy
POWERGRID,Power Grid Corporation of India Limited,Energy
RELIANCE,Reliance Industries Limited,Energy
SBILIFE,SBI Life Insurance Company Limited,Financial Services
SBIN,State Bank of India,Banking
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharma
TCS,Tata Consultancy Services Limited,IT
TATACONSUM,Tata Consumer Products Limited,FMCG
TMCV,Tata Motors Limited,Auto
TATASTEEL,Tata Steel Limited,Metals & Mining
TECHM,Tech Mahindra Limited,IT
TITAN,Titan Company Limited,Consumer Durables
UPL,UPL Limited,Chemicals
ULTRACEMCO,UltraTech Cement Limited,Construction
WIPRO,Wipro Limited,IT
NIFTYBEES,Nippon India ETF Nifty 50 BeES,ETF
BANKBEES,Nippon India ETF Bank BeES,ETF
GOLDBEES,Nippon India ETF Gold BeES,ETF
JUNIORBEES,Nippon India ETF Nifty Next 50 BeES,ETF
LIQUIDBEES,Nippon India ETF Liquid BeES,ETF
MON100,Motilal Oswal Nasdaq 100 ETF,ETF
CPSEETF,CPSE ETF,ETF
NIFTYIETF,ICICI Prudential Nifty 50 ETF,ETF
SETFNIF50,SBI Nifty 50 ETF,ETF
HDFCNIFTY,HDFC Nifty 50 ETF,ETF
